21545,CLCANASMCCOT01 -  10.225.30.22,CCTV,Up,18169,Memory: Physical Memory,76 %
21546,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18148,Memory: Virtual Memory,78 %
21547,CLCANASMCCIT01 - 10.225.30.6,CCTV,Up,18136,Memory: Virtual Memory,79 %
21548,CLCANASMCCOT01 -  10.225.30.22,CCTV,Up,18168,Memory: Virtual Memory,81 %
21549,CLOJOSASMCCOT01 - 10.225.30.23,CCTV,Up,18172,Memory: Virtual Memory,80 %
21550,CLOJOSASMSIT01 - 10.231.0.250,CCTV,Up,18207,Disk Free: C:\ Label:  Serial Number a2f6e70d,83 %
21551,CLCANASMCCIT01 - 10.225.30.6,CCTV,Up,18134,Disk Free: C:\ Label:  Serial Number a2f6e70d,83 %
21552,CLCANASMCCOT01 -  10.225.30.22,CCTV,Up,18162,Disk Free: C:\ Label:  Serial Number a2f6e70d,83 %
21553,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18111,Memory: Physical Memory,84 %
21554,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18246,Disk Free: C:\ Label:  Serial Number a2f6e70d,84 %
21555,CLCANASMSOT02 - 10.225.11.251,CCTV,Up,18198,Memory: Physical Memory,85 %
21556,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18106,Disk Free: C:\ Label:  Serial Number a2f6e70d,85 %
21557,CLCANASMSOT02 - 10.225.11.251,CCTV,Up,18193,Disk Free: C:\ Label:  Serial Number a2f6e70d,85 %
21558,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18220,Disk Free: C:\ Label:  Serial Number a2f6e70d,85 %
21559,CLOJOSASMCCOT01 - 10.225.30.23,CCTV,Up,18170,Disk Free: C:\ Label:  Serial Number a2f6e70d,85 %
21560,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18146,Disk Free: C:\ Label:  Serial Number a2f6e70d,86 %
21561,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18251,Memory: Physical Memory,86 %
21562,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18225,Memory: Physical Memory,87 %
21563,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18110,Memory: Virtual Memory,88 %
21564,CLCANASMSOT02 - 10.225.11.251,CCTV,Up,18197,Memory: Virtual Memory,88 %
21565,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18250,Memory: Virtual Memory,90 %
21566,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18224,Memory: Virtual Memory,90 %
21567,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18107,Disk Free: E:\ Label:Media Disk Nuevo 16TB  Serial Number 4431b431,94 %
21568,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18247,Disk Free: E:\ Label:Media Disk Nuevo 16 TB  Serial Number 2a2a2d13,94 %
21569,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18221,Disk Free: E:\ Label:Media Disk Nuevo 16 TB R1  Serial Number 76bc0f30,>99 %
21570,CLCANASMSOT02 - 10.225.11.251,CCTV,Up,18194,Disk Free: E:\ Label:Media Disk Nuevo 16 TB  Serial Number 5c5b9198,>99 %
21571,CLCANASMSOT02 - 10.225.11.251,CCTV,Up,18195,Disk Free: F:\ Label:Media Disk Antiguo 4 TB  Serial Number fabeb7f7,>99 %
21572,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18222,Disk Free: F:\ Label:Media Disk Antiguo 6 TB R1  Serial Number 40fb23f1,>99 %
21573,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18248,Disk Free: F:\ Label:Media Disk Antiguo 6 TB  Serial Number 22728520,>99 %
21574,CLCANASMSOT01 - 10.225.11.250,CCTV,Up,17184,Disk Free: F:\ Label:Media Disk Antiguo  4 TB  Serial Number 20a876d5,>99 %
21575,CLOJOSASMSIT01 - 10.231.0.250,CCTV,Up,18209,Disk Free: F:\ Label:Media Disk Antiguo 6 TB  Serial Number caea22bc,>99 %
21576,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18108,Disk Free: F:\ Label:Media Disk Antiguo 4 TB  Serial Number 54467a8e,>99 %
21577,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18243,(016) Ethernet1-WFP Native MAC Layer LightWeight Filter-0000 Traffic,29 kbit/s
21578,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18244,(017) Ethernet1-QoS Packet Scheduler-0000 Traffic,29 kbit/s
21579,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18219,(019) Ethernet1-WFP 802.3 MAC Layer LightWeight Filter-0000 Traffic,41 kbit/s
21580,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18217,(017) Ethernet1-WFP Native MAC Layer LightWeight Filter-0000 Traffic,41 kbit/s
21581,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18218,(018) Ethernet1-QoS Packet Scheduler-0000 Traffic,41 kbit/s
21582,CLOJOSASMSIT02 - 10.231.0.251,CCTV,Up,18216,(006) Ethernet1 Traffic,41 kbit/s
21583,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18242,(008) Ethernet1 Traffic,25 kbit/s
21584,CLOJOSASMSOT02 - 10.231.10.251,CCTV,Up,18245,(018) Ethernet1-WFP 802.3 MAC Layer LightWeight Filter-0000 Traffic,29 kbit/s
21585,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18142,(016) Ethernet1-WFP Native MAC Layer LightWeight Filter-0000 Traffic,89 kbit/s
21586,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18145,(019) Ethernet1-WFP 802.3 MAC Layer LightWeight Filter-0000 Traffic,89 kbit/s
21587,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18144,(018) Ethernet1-QoS Packet Scheduler-0000 Traffic,89 kbit/s
21588,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18105,(018) Ethernet1-WFP 802.3 MAC Layer LightWeight Filter-0000 Traffic,94 kbit/s
21589,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18103,(016) Ethernet1-WFP Native MAC Layer LightWeight Filter-0000 Traffic,97 kbit/s
21590,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18104,(017) Ethernet1-QoS Packet Scheduler-0000 Traffic,97 kbit/s
21591,CLCANASMSOT02 - 10.225.11.251,CCTV,Up,18192,(018) Ethernet1-WFP 802.3 MAC Layer LightWeight Filter-0000 Traffic,98 kbit/s
21592,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18143,(017) Ethernet1-Npcap Packet Driver (NPCAP)-0000 Traffic,92 kbit/s
21593,CLOIOSASMCCIT01 - 10.225.30.7,CCTV,Up,18141,(013) Ethernet1 Traffic,92 kbit/s
21594,CLCANASMSIT02 - 10.225.0.251,CCTV,Up,18102,(003) Ethernet1 Traffic,97 kbit/s
21595,CLCANASMCCOT01 -  10.225.30.22,CCTV,Up,18158,(017) Ethernet1-QoS Packet Scheduler-0000 Traffic,213 kbit/s
21596,CLCANASMCCOT01 -  10.225.30.22,CCTV,Up,18157,(016) Ethernet1-WFP Native MAC Layer LightWeight Filter-0000 Traffic,194 kbit/s
