"id";"ubication";"device";"client";"last_mac";"current_mac";"note";"last_change_date";"status";"prtg_status";"prtg_id";"status_num_clients"
"163";"Camion 221";"Dispatch";"10.117.123.221";"Not Found";"0080.0700.f69b";"No data";"2024-08-27 23:29:25";"N/A";"Not Found";"0";"N/A"
"164";"Camion 221";"MEM";"10.117.122.221";"Not Found";"0013.952f.168c";"No data";"2024-08-15 05:23:18";"N/A";"Not Found";"0";"N/A"
"165";"Camion 221";"UMAN";"10.117.126.221";"Not Found";"b827.eb37.1cf6";"No data";"2024-08-15 05:23:18";"N/A";"Not Found";"0";"N/A"
"166";"Camion 221";"VIMS";"10.117.124.221";"Not Found";"000a.750e.486f";"No data";"2024-08-27 14:18:35";"N/A";"Not Found";"0";"N/A"
"169";"Camion 222";"Cisco AP";"10.117.115.33";"Not Found";"00a5.bf2e.ad8a";"No data";"2024-09-05 05:43:31";"ok";"Not Found";"0";"ok"
"170";"Camion 222";"Cisco RO";"10.117.116.33";"Not Found";"00a5.bf2e.ad6a";"No data";"2024-09-05 00:47:43";"N/A";"Not Found";"0";"N/A"
"171";"Camion 222";"Dispatch";"10.117.123.222";"Not Found";"0080.0701.1342";"No data";"2024-09-05 00:47:43";"N/A";"Not Found";"0";"N/A"
"172";"Camion 222";"MEM";"10.117.122.222";"Not Found";"0013.9533.be73";"No data";"2024-09-05 00:47:43";"N/A";"Not Found";"0";"N/A"
"173";"Camion 222";"UMAN";"10.117.126.222";"Not Found";"b827.eb33.00d5";"No data";"2024-09-05 00:47:43";"N/A";"Not Found";"0";"N/A"
"174";"Camion 222";"VIMS";"10.117.124.222";"Not Found";"000a.750e.484b";"No data";"2024-09-05 00:47:43";"N/A";"Not Found";"0";"N/A"
"177";"Camion 223";"Cisco AP";"10.117.115.34";"Not Found";"00a5.bf2f.4d2e";"No data";"2024-08-24 17:50:40";"ok";"Not Found";"0";"ok"
"178";"Camion 223";"Cisco RO";"10.117.116.34";"Not Found";"00a5.bf2f.4d0e";"No data";"2024-08-24 17:50:40";"N/A";"Not Found";"0";"N/A"
"179";"Camion 223";"Dispatch";"10.117.123.223";"Not Found";"0080.0701.1243";"No data";"2024-08-22 11:05:38";"N/A";"Not Found";"0";"N/A"
"180";"Camion 223";"MEM";"10.117.122.223";"Not Found";"0013.952e.7622";"No data";"2024-09-05 05:04:04";"N/A";"Not Found";"0";"N/A"
"181";"Camion 223";"UMAN";"10.117.126.223";"Not Found";"b827.eb68.9751";"No data";"2024-08-24 09:19:00";"N/A";"Not Found";"0";"N/A"
"182";"Camion 223";"VIMS";"10.117.124.223";"Not Found";"000a.750e.47f9";"No data";"2024-09-05 05:04:04";"N/A";"Not Found";"0";"N/A"
"185";"Camion 224";"Cisco AP";"10.117.115.35";"Not Found";"9cd5.7dd5.7d0a";"No data";"2024-08-29 18:09:24";"ok";"Not Found";"0";"ok"
"186";"Camion 224";"Cisco RO";"10.117.116.35";"Not Found";"4c42.1e50.e3a0";"No data";"2024-08-28 11:38:11";"N/A";"Not Found";"0";"N/A"
"187";"Camion 224";"Dispatch";"10.117.123.224";"Not Found";"0080.0701.1253";"No data";"2024-08-28 11:38:11";"N/A";"Not Found";"0";"N/A"
"188";"Camion 224";"MEM";"10.117.122.224";"Not Found";"0013.952f.0b76";"No data";"2024-08-28 11:38:11";"N/A";"Not Found";"0";"N/A"
"189";"Camion 224";"UMAN";"10.117.126.224";"Not Found";"b827.ebf3.2dae";"No data";"2024-08-29 18:09:24";"N/A";"Not Found";"0";"N/A"
"190";"Camion 224";"VIMS";"10.117.124.224";"Not Found";"000a.750e.489e";"No data";"2024-08-28 11:38:11";"N/A";"Not Found";"0";"N/A"
"193";"Camion 225";"Cisco AP";"10.117.115.36";"Not Found";"00a5.bf2f.b4f2";"No data";"2024-09-05 14:16:34";"ok";"Not Found";"0";"ok"
"194";"Camion 225";"Cisco RO";"10.117.116.36";"Not Found";"00a5.bf2f.b4d2";"No data";"2024-09-02 04:35:31";"N/A";"Not Found";"0";"N/A"
